IATI-code,Funder-code,abbreviation,name,notes
21041,INGO,SID,Society for International Development,
21042,INGO,Interpeace,International Peacebuilding Alliance,
21043,INGO,AWEPA,European Parliamentarians for Africa,
21044,INGO,ICCIDD,International Council for the Control of Iodine Deficiency Disorders,
21045,INGO,AMREF,African Medical and Research Foundation,
21046,INGO,ACORD,Agency for Cooperation and Research in Development,
21047,INGO,,AgriCord,
21048,INGO,AAU,Association of African Universities,
21049,INGO,ECDPM,European Centre for Development Policy Management,
21050,INGO,,Geneva Call,
21051,INGO,ISPEC,Institut Supérieur Panafricaine dEconomie Coopérative,
21053,INGO,,"IPAS-Protecting Womens Health, Advancing Womens Reproductive Rights ",
21054,INGO,LPI,Life and Peace Institute,
21055,INGO,RATN,Regional AIDS Training Network,
21056,INGO,REEEP,Renewable Energy and Energy Efficiency Partnership,
21057,INGO,ICTJ,International Centre for Transitional Justice,
30001,INGO,GAIN,Global Alliance for Improved Nutrition,
30003,INGO,GeSCI,Global e-Schools and Communities Initiative,
30004,INGO,GWP,Global Water Partnership,
30005,INGO,IAVI,International AIDS Vaccine Initiative,
30006,INGO,IPM,International Partnership on Microbicides,
30007,INGO,GAID,Global Alliance for ICT and Development,
30008,INGO,,Cities Alliance,
30009,INGO,SAS,Small Arms Survey,
30010,INGO,UNITAID,International drug purchase facility,
30011,INGO,IUCN,International Union for the Conservation of Nature,
31001,INGO,GDN,Global Development Network,
31002,INGO,GKP,Global Knowledge Partnership,
DAC-1601,BMGF,BMGF,Bill & Melinda Gates Foundation,
XM-DAC-12-1,XM,,"Department of Foreign Affairs and Trade, Ireland",Added 24 Jul 2014
XM-OCHA-FTS,XM,OCHA-FTS,OCHA Financial Tracking Service,Added 11 Mar 2015
GB-GOV-3,GB,FCO,Foreign and Commonwealth Office,Add 28 Nov 2016 (previously GB-3)
