donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,566,576,613,701,732,742,764,765,801,807,811,812,820,901,903,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,953,958,959,963,964,966,967,971,974,976,978,988,990,1011,1013,1311,1312,1313,1601
donor_name,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund [NDF],Canada,United States,Israel,Kuwait [KFAED],Saudi Arabia,United Arab Emirates,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Timor Leste,Australia,United Nations Environment Programme [UNEP],Global Environment Facility [GEF],Montreal Protocol,New Zealand,International Bank for Reconstruction and Development [IBRD],International Finance Corporation [IFC],International Development Association [IDA],Caribbean Development Bank [CarDB],Inter-American Development Bank [IDB],IDB Special Fund,African Development Bank [AfDB],African Development Fund [AfDF],Asian Development Bank [AsDB],AsDB Special Funds,EU Institutions,Arab Fund [AFESD],UN Peacebuilding Fund [UNPBF],World Health Organisation [WHO],International Labour Organisation [ILO],International Atomic Energy Agency [IAEA],UNECE,OPEC Fund for International Development [OFID],Arab Bank for Economic Development in Africa [BADEA],IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank [IsDB],OSCE,IFAD,European Bank for Reconstruction and Development [EBRD],Climate Investment Funds [CIF],Council of Europe Development Bank [CEB],Global Alliance for Vaccines and Immunization [GAVI],Global Fund,Global Green Growth Institute [GGGI],Bill & Melinda Gates Foundation
Botswana,,0,,0.59536187,0.10582424,0.0831947,0.00494509,0.0713803,0.0332779,0.300079851,,1.613690471,0.41185002,,0.0831947,,,,,4.34E-05,0.04,,,,,,,,,0.00129984,,,,0.112531,,0.62777162,50.43231,0.093087,,,0.0199837,,4.43137249,,0.013952,0.0287453,,1.145495829,,1.879868,,0.6089909,-0.9562632,,,,,,6.37974,,,,10.53531938,,,1.31673674,0.47726,0.414864,,,,,0.36205615,0.91742543,,,0.257195,0.89936,0.59967727,,,0.312875,,,,,1.65143,,1.088521923
Brazil,1.6125019,2.420044808,1.4070569,277.2303576,310.2138711,7.614091908,0.14868467,157.2006625,3.075441464,1.764231465,3.2112236,32.81308354,0.52671528,,0.2767642,1.6973592,,0.02716587,,4.371647014,0.15,,,0.0109789,0.00738769,,,0.580524,0.09369526,0.015086,0.00998336,,0.023304387,,,0.932315992,16.784743,1.63946,,,0.0872705,,92.69888698,,419.997553,0.000113326,,0.66931417,,26.908347,,0.2206093,886.123989,,,,1270.88318,4.03014,,,,,316.3141987,,,,2.35435,0.469861,,,,,0.42904102,2.50566591,,,,0.793323,1.50090437,,,6.95184,,0.06444,,,,,2.4678671
Burkina Faso,4.45237587,10.65470002,41.57242164,81.33214607,47.38966087,8.252644187,,0.5063132,0.0018325,12.70111277,38.77744602,0.13496,0.525026332,,0.24323028,21.50407081,,0.00633389,,0.798440509,0.91,,,,0,,,0.00042623,0.0204104,,,,,,,24.30694126,58.63094,0.341133,1.61376,,2.1165471,,23.55537755,,0.317203,,,0.118889325,,5.0859867,,,,,269.0886223,,,,2.79382,72.18741,,,189.140668,,,1.85846628,0.44341,0.328752,,36.853767,3.6618516,32.2216,5.53652731,15.88855002,,3.431879,0.00196712,0.647435,3.23973223,6.14487,,6.21549,,0.01645,,26.62364,45.74701,,11.38482973
Burundi,0.0196442,49.13528259,,7.4915057,17.41821303,1.36501671,27.0297329,5.46851062,,0.2749082,7.20626405,0.31334341,0.76416248,,1.5529666,0.84778719,,0.0048985,,0.3731972,0.04,0.0732114,,,0.00492512,,,0.0004262,0.00799314,0.0118526,,,,,,4.20538021,42.007915,0.007259,,,0.1430373,,2.554157899,,0.888493,,,0.602058886,,3.562636,,,,,49.14233723,,,,0.07532,39.26137,,,48.63037028,,2.42573,1.79897722,0.14737,0.0585801,,6.88419,0.222961,6.99557,7.28900867,11.8573077,,3.027491,10.0952,0.554946,2.24026548,,,10.368488,,,,12.05097,10.61961,,1.490826
Cabo Verde,0.54280309,0.00187022,,8.3833737,0.28618014,0.23518924,,,51.96654227,0.0366578,1.3948777,0.1784731,,,,15.18004625,,0.0048985,,0.691365723,,0.00749861,,0.01699112,,,,,0.002138846,,,,,,,,11.761283,0.002074,0.764041,,,,18.18581536,,,,0.5,0.114997379,,1.8183597,,,5.618285,,17.1869518,,,,22.34603,3.48221,,,24.74166036,,,1.10538474,0.23825,,,5.457197,7.75838054,,0.63103057,1.02787922,,,,,1.02,,,1.21957,,,,,2.12113,,0
Cambodia,0.04814557,4.06736588,0.260208,84.75768736,36.58309266,0.40998098,,14.07459233,,24.9096282,14.74712475,4.24728454,2.659409708,,0.58351063,0.5039485,,0.0126678,0.00954631,0.042843575,0.16,,,1.30293811,0.0332446,,,0.0697539,0.99192255,,,,,,,4.050527679,86.624982,,,,0.0044715,,106.0776105,,89.695522,3.63028,,49.78553813,,4.9669807,,5.7538441,,,3.888845314,,,,,,0,117.00556,45.22539393,,,1.84406956,0.79241,0.491814,,38.162305,,,4.40333497,6.53821062,,3.930205,,0.657652,3.22773874,,,15.78352,,0.73502,,14.2699,31.54358,0.47298,5.3716454
Cameroon,0.33416811,3.67456926,,164.2039177,73.16689991,2.54471518,,0.69030365,,1.674302994,4.0606206,9.50824448,0.60918589,,0.5491478,0.3301688,,0.0950083,,0.757091583,0.3,,,,,,,0.0400655,0.0119357,0.0366241,,,,0.1514,,3.90217874,81.366129,0.0985851,,,0.2141392,,33.37778845,,16.696836,0.00995221,,1.15187458,,3.49538,,0.21109,0,,95.038162,,,,11.9967,28.90927,,,62.29512497,,,1.82040151,0.86224,0.217671,,3.608424,4.4422348,,1.97034313,10.25700141,,4.76117,3.30379,0.958592,3.06488638,9.9136,,6.8546364,,,,30.28758,62.46541,,2.715050041
Central African Republic,0.11730289,7.254075,1.4869,37.99253759,37.67129993,5.27399302,11.8616614,10.1024464,0.0652568,9.448383,10.3546948,27.937107,2.59624952,,5.4115407,3.1939616,,0.00634801,,1.819083498,0.43,,,0.0975899,,,,,,0.00224514,,,,,,17.5888452,68.12798,0.002074,0.663982,,0.0355794,,18.1684516,,0.53397,,,1.546003982,,2.0473333,,,,,26.95483086,,,,,13.45302,,,122.4609713,,3.8646326,3.53119327,0.1463,0.132501,,,,19.4827,4.35567637,11.41883726,,2.454223,,0.904138,1.78120046,,,2.242888,,,,2.48561,7.46161,,0.177254
"Central Asia, regional",3.28328293,,,0.02769825,31.18834776,,0.186206,2.67880876,,2.733116732,7.16951799,,0.1762673,,,0.0166389,,,,0.000893739,10.42,,,,,,,0.00111454,,,0.00110926,0.034965,0.0277316,,,0.060025,41.151773,,,,,0.89340097,0.9499332365,,0.161275,,,,,1.033333,,,,,1.39577,,,,,,,,46.01255956,,,,0.43603,,,0.05,,,,,,,,,,,,,,,,,,,
Chad,0.0835275,0.332779,,81.41424129,15.14227175,0.79211144,,0.74402,,7.0714863,26.82093483,,2.107595,,1.198285,0.1140164,,0.00633389,,0.3208402,0.48,,,,,,,,,0.000945295,,,,,,5.36674763,79.080159,0.003111,,,2.020333,,11.53000848,,0.040768,,,0.02910058,,3.6613737,,,,,604.1554476,,,,,32.9173,,,172.5599922,,0.0584075,1.84426088,0.16168,0.0795452,,0.634923,0.6946868,68.6967,3.47393078,19.499398,,2.414538,,0.636437,2.7420825,19.76266,,8.5034608,,,,6.26398,10.34528,,1.783703
Chile,0.2652006,0.27378231,2.546811,11.22080165,33.5715682,0.438485295,,,0.0956196,0.0960934,0.4314659,7.192159174,0.21358931,,,0.09301713,,0.018113166,,0.873366054,0.04,,,0.00853915,,,,0.01154073,0.00465492,0.0166181,,,,,,0.6182272,1.539451,0.214876,,,0.0140206,,3.556973804,,62.105227,0.0436826,,1.07635484,,6.684226,,0.29518747,20.0688,,,,82.55907,0.73631,,,,,6.52312653,,,,0.89751,0.311082,,,,,0.74827371,0.65767768,,,,0.010467,0.26701814,,,,,1.03994,,,,,0.747238
China (People's Republic of),6.836527131,1.40761123,14.20925739,161.5111708,749.4032735,0.688369122,2.06962514,11.64715575,4.021585717,2.828636376,13.62389209,68.21509206,2.319633324,,,0.4146236,,0.04203774,,2.526453489,0.44,0.00991459,,0.075713798,0.0910593,,,1.54322427,0.224458694,0.126888,,0.01511,0.028171979,,0.356084,4.440033594,33.443717,1.90158,9.689,,0.0537545,,151.4473899,,3346.823331,0.137725,,15.74080699,,54.6294223,37.4843,0.6227697,1513.089466,,0,,,,,,1432.163,17.36273,104.4009722,,,4.61225852,2.00531,0.871115,,3.70186,,,2.18277011,7.96755596,,,,1.319169,3.69619198,,,49.051705,,,,,,0.462889,15.1274106
Colombia,0.923485905,2.23509227,0.370976,465.1501942,242.7480361,2.865401892,3.32515985,16.36097442,0.07597114,27.36842786,29.71657955,61.68920722,1.23004904,,0.7864554,0.91247661,,0.019548566,,14.9013736,0.34,,,0.07274556,,,,0.0790601,0.04211735,0.0153941,,,,,,38.46786896,386.603417,0.267647,,,0.1120255,,7.685188057,,18.117072,0.0182601,,0.3286124598,,14.344588,,0.9559473,1004.965284,,,,1078.91161,2.30536,,,,,58.70182408,,0.10646,,0.79054,0.294997,,,,,2.04965281,1.0144719,,0.868922,,0.17435,1.06061537,,,,,1.5829,,,7.65111,0.363047,5.06908645
Comoros,,0.1260043372,,20.79099882,,0.0166389,,,,,,0.00748663,0.00498724,,0.110926,,,,,,0.98,,,,,,,,,,,,,,,,1.060343,,,,0.8527477,,4.364016364,,0.17103,0.0115344,,0.100706284,,2.7140467,,0.952257,,,8.31076819,,,,,10.20366,,,10.96829922,0.795013,0.8119865,1.06793791,0.09884,,,0.38576,,,1.21791332,1.35569267,,,,,0.92338308,0,,0.3133308,,,,0.71667,0.54767,,0.0132
Congo,0.0180319,0.07748645,,54.75356824,0.4878448,0.8838234,,0.240207,0.02458565,,0.302106,,0.0221852,,1.920463,,,0.23113677,,0.12256862,0.14,,,,,,,0.00085246,0.00238714,0.015849,,,,1.21199,,0.32378973,2.541812,0.007259,,,0.383967,,0.936553747,,0.111731,0.0185796,,0.10483885,,1.395282,,,0.1125,,12.10156436,,,,0.03964,4.17072,,,21.9411101,,,1.44771417,0.12516,,,3.917955,2.567842,,1.2997286,2.32300449,,1.217855,3.93304,0.648152,1.70838072,,,2.074978,,,,2.21044,3.63996,,0.23996216
Cook Islands,,,,0.00157515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.234725844,,0.214131,0.00624097,,3.150181895,,1.2368653,,17.31392566,,,,,,,,,0.32093,0.02683,3.0172427,,,0.33562872,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0.1282285,0.10896824,,17.31560966,20.32245633,0.01623976,,0.1299397,0.00506711,0.067016206,0.05583604,1.680561692,0.00457903,,,,,,,0.945977219,,,,0.00813251,,,,0.00127869,0.00238714,,,,,,,0.609011207,9.179303,0.118375,,,0.0135489,,65.2238188,,0.59135,0.049106,,0.5994516265,,4.199899,,,14.44697,,,,278.34708,0.98892,,,,,19.1315656,,,,0.73923,0.341276,,,,,0.39205631,1.090073,,,1.02058,0.003971,0.50817623,,,,,,,,0.93309,,0.0684
Côte d'Ivoire,0.03516996,7.63375476,,325.9743621,15.84716224,1.28941701,,1.077651,0.03956064,0.8091413516,2.5026052,1.0665754,0.4675493,,0.00672213,0.06361098,,0.00633389,,0.44947013,0.18,,,,,,,0.00162143,,0.0174423,0.00554631,,,,,3.59436848,69.476606,0.021865,0.111703,,0.45095,,22.0333792,,3.538382,0.0199044,,0.18519802,,3.1906747,,,,,248.3144412,,,,89.96964,24.82061,,,68.60591033,,3.6276872,1.54301025,0.66665,0.256894,,11.869215,8.9069585,136.498,2.22641375,10.05709548,,0.151641,6.51525,1.055442,3.74908857,19.06888,,7.1693381,,,,16.3797,34.17606,,1.63319122
Cuba,0.1085367,3.03992399,,2.6707272,2.13729567,0.717750947,0.1651713,3.580739493,0.04918133,,11.41809942,2.031295287,0.0108153,,,0.17937491,,0.0126678,,125.8477338,0.25,,,0.18253768,0.0209207,,,0.00042623,0.02101774,0.0185871,,,,351.968,,1.76301253,7.917273,,4.34242,,0.0475661,,4.960956828,,0.477558,0.0203716,,,,2.3908643,,,,,,,,,,,,,14.81129366,,,,0.01046,0.569218,,6.76373,,,0.42269525,0.83531149,,,,,0.71024629,,,0.034728,,,,1.763,7.03334,,0.003
Democratic People's Republic of Korea,0.0295682,0.000999445,,1.32469033,3.40991368,0.45105902,,1.860047,,4.003559685,9.8968872,1.16582013,0.675192,,0.721021,,,0,,,0.09,,,0.00813252,,,,,0.04132101,0.0440546,,,,59.7727,,2.135558,2.003874,,3.947947,,,,,,,,,4.50822,,,,,,,,,,,,,,,8.5367279,,,1.8445753,,,,,,,1.66194661,3.48143128,,0.637252,,,1.26465437,,,,,,,9.6578,10.63005,,0.0132
