,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,30,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,566,576,611,613,701,732,742,801,811,820,901,903,905,906,909,913,914,915,918,921,923,928,932,940,944,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1015,1016,1019,1020,1023,1024,1025,1311,1312,1313,1601,1602,1603,1604,1605,1606,1607,1609,1610,1611,1612,1614,1615,1616,1617,1618,1619,1620,1621,1622,1623,1624,1625,1626,1627,1628,1630,1631,1632,1633,1634,1635
recipient_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Cyprus,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Australia,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Finance Corporation,International Development Association,Caribbean Development Bank,Inter-American Development Bank,African Development Bank,African Development Fund,Asian Development Bank,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,Food and Agriculture Organisation,International Labour Organisation,International Atomic Energy Agency,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Development Bank of Latin America,Green Climate Fund,IDB Invest,Central Emergency Response Fund,World Tourism Organisation,Asian Infrastructure Investment Bank,Center of Excellence in Finance,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,MetLife Foundation,MasterCard Foundation,Grameen Crédit Agricole Foundation,Bernard van Leer Foundation,MAVA Foundation,Oak Foundation,H&M Foundation,Charity Projects Ltd (Comic Relief),Children's Investment Fund Foundation,Gatsby Charitable Foundation,Conrad N. Hilton Foundation,David & Lucile Packard Foundation,John D. & Catherine T. MacArthur Foundation,Carnegie Corporation of New York,Michael & Susan Dell Foundation,"Omidyar Network Fund, Inc.",Rockefeller Foundation,William & Flora Hewlett Foundation,Arcus Foundation,Gordon and Betty Moore Foundation,Ford Foundation,Wellcome Trust,World Diabetes Foundation,McKnight Foundation,Citi Foundation,LEGO Foundation,Norwegian Postcode Lottery,BBVA Microfinance Foundation
Gambia,240,0.1396766,0.2155789,0.155959,5.96966348,3.01224957,4.762798677,0.0582142,0.2926311,0.00402691,0.75868833,0.0626639,21.52028057,0.00569692,,0.0410032,,,,0.0376083,2.131533397,3.15775,0.00778944,,0.02069825,,,,0.0201085,0.00886083,,,,,,,0.1010569,2.61084,0.0297556,31.57917,8.801771,4.16103,,,3.465829412,,1.797055,0.305727349,1.4610479,,,,33.958702,,,,27.3465776,,50.34244617,,1.1121613,0.75403905,0.3037784,0.325520037,,20.10564,,4.17169322,2.2254996,,0.0454445,0.532823,0.0432877,0.9151,10.30856,,8.50895,,,,,,,,,,,,2.55388,11.60467902,,0.08607514,,,,,,,,,,,0.0533547,,,,,,,,,,,0.00909091,,0.025,0.201155,,,,,,
Georgia,612,37.49949587,0.00705771,12.4809188,111.2540028,110.4095489,0.41513446,0.77116151,4.4798554,0.13470082,14.80565175,6.888848281,1.7032803,1.14685377,0.204872,0.2640826,0.12586564,,0.0409017,,10.94376499,2.44628,0.09254027,,3.51480113,0.49302,,0.09,1.20421086,2.3749079,0.12964918,1.2970614,0.50754521,0.466993495,,,0.000633552,100.93909,0.645936,0.739396,0.2000003,,,,5.520846392,,0.037582,0.00739146,0.710122,,50.12184871,,7.8878,,,,,142.3226505,294.6693793,,,0.86078381,0.23597,0.596646485,0.508312,25,,0.3942098,1.0700533,,,2.6529,,0.5985,,,2.5704,206.35426,,,1.628,,,,,,5.16053,,0.02957,8.14953,,,,,,,,,,,0.119878,,,,,,,,,,,,0.0296667,,,,,0.223755,,,,,
Ghana,241,2.89800742,5.402052,47.42511658,85.02605361,73.7182727,1.89710528,18.7249694,4.14420406,0.0100661,0.93804855,17.76369909,55.84721416,15.7546533,,0.0514267,0.00308603,,0.0151163,0.0167261,1.309388712,0.11529,,,0.12866005,,,,1.009896,0.08772226,0.00476142,0.010622,,0.0015213,0.376923,,69.71450676,218.66532,0.636283,,1.5904944,1.81407,,,70.13064308,,19.302157,1.7317306,0.24635325,0.2190217,,,141.602249,,,44.6843496,49.66864757,,78.80981396,,,1.26788196,1.0097158,0.719787397,0.513949,4.991374,188.075,1.14313687,8.00765,,,3.01584,0.2491099,2.24852,,,11.60345,,8.286481,4.33468,,,,,,,,,34.97138,66.104771,,10.94681685,,,0.666933,,32.78481605,1.09826,,,,,0.882002808,1.224187,,3.380168,0.25,,,,0.573869,1.330168,1.9549167,0.02717421,,0.833161,0.310942,,,,,,
Grenada,381,,,,0.00569692,0.8910553,,,,,,,0.238566334,,,,,,,,,,,,,,,,,,,,,,,,0.152782352,0.00132,0.00656233,0.77604,,0.10015,,,0.134689961,,,0.040770436,0.633172,0.0655411,0.16140526,,33.277896,3.14125,,,,,0.5098427,,,,0.10404,0.1459391,,0.393833,,,,,,,,,,,0.43041,,2.85775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166667,,,,,,,,,
Guatemala,347,4.96196456,3.05420838,2.09955,3.73884546,32.83357271,0.50827403,0.17951468,5.12342681,,32.23733083,2.75958154,3.011323617,0.1155602,,1.316058,0.39305349,,,0.00383871,34.58087155,,,,,,,,,,,,,0.0118022,,,14.87726005,200.97456,0.958263,,,0.00905,,,21.37560072,,6.579553,0.063088349,2.8539333,0.09937875,250,,,,55.97594698,,,,21.41708337,,5.78517686,1.27716984,0.7320366,1.298090051,0.091758,1.19729,,0.55248947,1.638901,,0.584606,,0.1238312,1.35393,,,4.035348,,,0.467924,,,,,1.55997,,,,,11.74739,,1.689519,,,,,,,,,0.18,0.32877,,,,,,,,,,,,0.014,,1.31935,,,,0.08,,,
Guinea,243,0.0109676,10.59852432,1.20719,64.94925223,18.55776698,0.64934338,,0.179202,0.0261737,0.1035626,0.91431531,0.4594636,0.0508261,,0.4410928,0.559897,,,0.00114009,16.0491829,2.99763,,,0.0321445,,,,,0.00443041,0.000410948,,,,3.859,,2.73973251,82.52048,0.800221,15.148742,15.44687425,5.11683,,,17.97845063,,0,0.0659296,3.5781147,,,,139.112706,,,,23.3647076,,105.6143015,,5.34780095,1.8903798,0.42784,0.138665128,,1.127748,48.7403,7.17726166,9.5905641,,1.2473912,0.817848,0.1173708,3.04268,41.7582101,,9.33315,,,,,,,,,,,,11.72524,28.691125,,3.544703,,,,,,,,0.354066,,,0.0160064,1.25,,,,,,,,0.325,,0.193025,,0.04,,,,,,,
Guinea-Bissau,244,0.00205653,0.0236445,0.0879069,1.049683745,0.2690218,1.97755253,,0.0986484,12.89896386,0.1927412,0.518152125,0.0301454,,,0.4180139,,,,,3.1211518,0.37949,,,,,,,,0.00443041,,,,,,,0.21537665,3.46455,0.00475563,,0.653333,0.03629,,,0.414407215,,0.015519,0.03863397,0.47897437,,,,54.7132362,,,0,7.5563287,,27.3797034,,3.13202714,0.89342707,0.41006,0.12990174,,,4.28704,3.86168177,2.8997437,,,0.809303,,,0.0100309,,5.162999,,,3.034,,,,,,,,,1.38948,16.489789,,0.20904344,,,,,0.203719,,,4.712803,,,,,,,,,,,,,,,,,,,,,,,
Guyana,446,,,,0.29553068,0.0492666,0.00295055,,3.4571471,,,,1.49647552,0.0588237,,,,,,0.000325741,,0.052,,,,,,,,0.00443041,,,,,,,1.478504882,5.26048,0.0472847,,,,,,1.66469404,,0.091756,0.091352156,1.19210786,0.10135,,,41.44950802,4.56161,39.84924438,,,,28.77622634,,,0.44175056,0.0818165,0.718873723,,0.01166,,0.36053548,1.9737174,,,,0.0937505,,,,1.1,,,,,,,,,,,,0.05518,0.9565198,0.13204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,349,0.0413077,10.02217647,0.540084,41.81275651,16.66611805,1.72117785,,8.9750141,0.0367402,2.262583,19.66239732,0.25357499,0.0176142,,1.32507659,2.105251168,,,0.000488611,9.616649942,,,,,0.15006,,,,,,,,,,,89.08895385,343.20341,0.16467,,0.0133333,0.1,,,43.33300215,,3.996496,0.502385778,3.629665,,,,112.8435298,,119.7311187,,,,134.7019555,,0.4527003,1.9165018,0.4456385,0.540931052,0.098705,3.520067,,3.6636253,9.7371825,,,,0.1661452,2.09092,,,5.61886,,0.817688,,,,,,12.14285,,,,7.44154,28.92976,,17.07050024,,,,,,,,,,,,,,,,0.05,,,,0.15,,0.181137,,,0.151547,,,0.05,,,
Honduras,351,1.3765878,1.6735371,0.858275,42.30502461,17.77740942,0.16258845,0.276875,0.2683287,,2.321414299,18.33460307,0.505883,1.2970967,,1.350599,0.1245004,,,,24.58545246,,,,0.0311069,,,,,,0.00243271,,,,,,23.1180064,161.77727,0.387283,,1.47558,,,,16.42280059,,10.386589,0.076532999,2.752107,,,,8.6047251,,318.2463168,,,,93.7182601,,0.5001411,0.8459694,0.27468,0.488200019,0.217886,8.415228,,0.37522339,1.8433189,,1.10801121,,0.0122367,0.89476,,,4.0045,,,,,,,,,,,,2.3015,6.28342,,0.89768174,,,,,,,,,0.18,,,,,,0.0166667,,,,,,,0.054,,1.44047,,,,0.16,,,
India,645,5.13631604,1.63692208,13.78790482,383.4776285,876.4950767,20.77505918,1.39776329,12.31951931,0.3781774,5.46231824,12.38165032,427.9744262,19.85407408,,1.6322424,1.461759206,,0.0108436,0.00604302,5.277619307,0.18344,0.00016981,,0.13974786,,,,3.57130555,1.33485848,0.0412065,,,0.02559188,0.376923,,4.586347165,143.65832,27.2631,,1.6933363,3.94476,,,2231.914228,,768.464042,9.558870812,7.72635814,0.1831606,1609.35691,,1031.676965,,,,,2533.620275,404.7401852,,,5.45894365,0.2970914,1.841176549,,0.51,,2.42876866,57.1738941,,,3.59632,0.5388467,4.16889,,,41.9057,,70.714644,1.169866,,,,,4.97918,,230.2599,,106.22334,103.210942,0.52092,277.0029067,0.59011,,,,,,1.3461226,,8.01505,0.33014,0.12961195,27.39644608,,,7.226806,8.741667,,20.2131205,8.233348,4.385268,20.396833,0.181137,,11.4753318,1.3129066,0.635,,1.5,0.455,,
Indonesia,738,2.512482,3.24457027,9.71782345,455.4878423,1203.904676,2.23041302,16.63103631,47.72868355,0.03727488,4.18793184,28.11639991,40.02982666,14.84346096,0.368177,0.4112034,0.19873802,0.0236044,,0.0401275,0.88821169,0.27954,0.059011,,0.63768384,0.01641,,,2.97074542,0.66528333,0.00361482,,0.00841851,0.0174791,0.559011,,22.99232343,282.06924,0.208434,,19.4278617,2.68377,0.1,,637.7683041,,411.519,273.2731254,10.41858841,16.9057106,1286.836048,,,,,,,2028.792389,20.0286745,,,3.71530163,0.2707721,1.739800295,0.331748,0.8,,0.56537154,6.1800086,,0.06973756,,0.7398507,2.74661,244.132495,,7.972789,,4.81315,,,,,,14.42502,,49.8217,,14.82502,49.063993,,16.8807545,1.18022,,,,,2.015982,,,0.1875,0.330139,,0.65,,0.2,14.7586134,2.023667,,,,,0.9046667,1.3463355,,14.9494411,,0.265549,,1.06,,,
Iran,540,12.05781381,0.00932374,0.9514152,11.23955057,83.53964599,0.483747063,0.768322,1.721005,0.04193322,2.48705548,0.28932577,1.873935,0.0486135,,0.0125741,0.2907553,,0.011153205,,0.728470421,0.49378,,,0.0537277,,,,0.899269,0.1812039,0.1520159,,,,,,0.305625753,5.48618,,,0.333333,0.02834,,,16.43446311,,3.296593,0.49786973,0.50140977,,,,,,,,,,16.60775351,,,0.79926984,0.2705671,0.03409611,0.274392,0.4,,0.17052849,1.3494192,,,9.29297,0.0803809,0.90195,224.774,,,,,,,,,,,,,,,4.11389,,0.0176138,,,,,,,,,,0.104609,,,,,,,,,,,,,,,,,,,,,
Iraq,543,5.16668503,12.9779054,9.4675562,19.81572681,502.490798,4.576312727,48.42278425,29.4453288,0.00201345,45.51640148,13.01838911,101.7109763,9.23146085,0.184725,2.36044,1.814225,0.0118022,0.0125528,0.0354066,2.615136612,4.24216,0.0354066,,2.42036301,0.99599,,0.35,6.215255,3.47079993,0.2537228,0.177033,,0.0118022,0.184331,,76.44127589,556.70185,0.0157159,,0.44,52.62543,,,555.0121785,,18.648104,22.61869006,0.334819,1.041453,164.849742,,,,,,,,273.7627307,,,3.0686138,0.46181,0.49763676,0.418951,,,0.48752094,4.0408707,,11.31284584,,,1.23237,,,,,,1.3008,,,,,,,,,,2.76419,,2.77087824,,,,,,,,,0.45,,,,,,,2.25,,,,,,,,,,,,,,,
Jamaica,354,0.0101099,0.2085447,0.0261345,21.87912812,0.49900775,0,,,0.00201345,0.014521818,,10.7302041,,,,,,,0.0016287,0.42854077,0.00498,,,,,,,,0.00443041,0.0588519,,,,,,4.385894007,34.86627,0.0256037,,0.08,0.023,,,4.087039093,,0.042245,0.126969824,1.05099975,0.2155176,42.98747858,,,1.7831,152.9279776,,,,43.69624242,,,0.51053072,0.19669,0.401910588,0.569988,,,0.28239973,1.2400319,,,,0.1324812,,,,,,5.431117,,,,,,,,,,,3.90913,,,,,,,,,,,,,0.24287062,,,,0.0166667,,,,,,,0.197387,,0.06,,,,0.22,,,
Jordan,549,0.79161038,3.7357263,7.564485062,173.1692734,367.0705045,19.67869895,39.58044825,32.45777478,,11.17720213,17.87456802,184.6207504,2.6759538,0.482269,3.5934556,0.412841,1.3745722,0.057777006,0.000244305,4.290009932,4.26388,0.1976538,0.236221,1.68554156,0.02832,,,8.31798078,2.89722776,0.5859976,,,0.000336363,0.666667,,87.95703147,1141.3221,37.9914,,24.9089803,188.4518,,,33.87456238,,21.715577,22.11795497,1.87027844,0.2019347,451.792103,,15.04967,,,,,,282.9007325,20.3246107,,0.84450202,0.4691318,1.04009994,0.496505,13.58936,,0.3592306,3.3084149,176.6934,,0.306976,,0.64473,26.0701,,4.68999,311.992244,,2.8412,,,,,,,,,,,0.88721,2.3192416,5.057237,,,,,1.91286,0.28998,,,0.32877,,,,,,2.25,,,,0.080168,,,,1.22175,,0.068908,,0.07,,,
Kazakhstan,613,3.118084,0.00472088,0.0174119,4.178117886,17.86997325,0.39402987,0.73726976,,0.00059011,0.099787824,0.3218153,2.431308822,0.04775858,0.0885759,,0.100229,,0.00171401,,0.155005302,50.6971,,,0.01593232,0.00466,,,2.24891493,1.19232395,0.0589584,,0.0646406,0.03538887,1.38655,,0.0177972,18.94842,0.62701,,0.16,0.5463,,,1.153664881,,7.185758,0.01804652,3.9655443,,74.2990776,,,,,,,68.4935299,4.25804509,,,1.02160046,0.056,0.489543025,0.319026,,,0.15202926,0.7890553,,,,0.0704635,0.5986,3.025267,2.372466,,353.2420886,,,,,,,,,,,,6.2461269,,,,,,,,0.717813,,,,,,,,,,,,,,,,,,,,,,0.145,,,
Kenya,248,7.986391567,18.58459952,57.40834047,121.3097031,96.94952979,15.30069233,16.98292922,14.91986865,0.07416731,55.23202202,12.83708353,176.5664614,16.26066535,0.2578869,7.720764536,0.1834573,,0.00734097,0.0201147,0.624615392,0.65457,,,0.063524559,1.76974,,,2.04670453,7.98302754,0.00433525,0.03422636,,,,1.005783,36.48427914,839.70448,1.36646,21.69807,4.775894,5.5587,,,224.1194421,,22.452512,2.67993432,2.0841765,1.113432,,,762.037207,,,204.442343,189.3287008,,109.8957029,,0.15,2.00282588,0.759818,0.749935226,0.466682,3.582147,,2.08043832,17.9824245,,0.18168,0.325615,0.4477904,2.97606,,,20.26759,,2.078459,3.95418,,,,,4.94551,,,,24.30161,86.84655,,69.02602178,,0.230139,,,22.30260605,1.746453,,,0.32,0.1909111,2.130595538,13.7432382,5.338139,4.6326,,0.776167,,,0.745,3.514166,3.739,0.2235316,,7.851331,4.1848232,,0.233,,0.068099,,
Kiribati,836,,,,,0.2943929,0.222397,,,,0.0124275,,0.0122453,,,,,,,0.000977222,,,,,,,,,,,,,,,,,,,,,,,,,21.66237173,,0.797195,20.78693483,0.8195007,13.6604097,,,10.97884213,,,,,5.24752,3.9620467,,,0.3259855,0.11694,0.02497111,,,,0.03625727,,,,,,,,,0.925583,,,,,,,,,,,,0.01625,,0.26527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,57,8.61565143,,0.5449821,2.655420089,36.22148131,0.495483871,,5.86671692,0.246576927,16.35707625,17.96143059,4.1749605,1.04154141,,0.2002733,7.0330678,,0.00212912,,,11.6754,1.123541373,0.03256,0.68971175,0.17284,,,0.806905804,0.9373375,,0.00354066,,,,,0.0581128,48.52399,,,0.7719913,3.70218,,,4.457323048,,,0.12566518,0.250517,,,,8.90338,,,,,,148.6839072,,0.01799,0.22996085,0.10626,,,,,0.116667,0.7695739,,,1.48576,,0.51372,3.74795,18.58987,,47.428329,,,,,,,,,,0.0678627,,1.365644,,,,,,,,1.65231,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,614,0.4519206,,0.0153213,0.76667537,36.67999897,0.17515192,0.0153192,0.0530341,,0.056155536,20.18060062,5.5665753,1.498905772,,,,,,,0.07472305,98.80294,0.00027806,,0.103505,0.00113,,,0.2301415,0.26147597,,0.05310992,0.05069837,,60.5197,,0.016387062,47.10042,0.16041,8.6218,3.9466197,3.49914,,0.0735793,26.34174454,,5.830548,0.00985568,2.11618776,,,,57.3314876,,,,,59.87907198,42.63405618,,4.53683471,2.05193741,0.40471,0.446565023,0.22651,0.79808,,1.35394336,1.4125809,,,0.576126,0.1000818,0.75652,6.53978,7.20224,12.57909,36.64581098,,,,,,,,,,,2.44274,12.8426,,0.00220574,,,,,,0.811024,,,,,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,745,4.7693412,0.41011805,2.35112,11.35121457,33.35298878,,,3.505271,,0.1446576,22.70998033,0.7795979,0.84339338,,0.649121,28.99355489,,,0.000932373,,0.03538,,,0.0694499,,,,26.18093146,,,,,,1.53509,0.597899,1.863375516,55.47757,0.0136833,24.8063,,1.70719,,,89.57443904,,72.53315,27.4764576,3.0968563,6.4797429,,,52.81823783,,,,,140.2903576,32.549818,,,1.30079497,0.32673,0.634513902,0.351419,4.53025,,1.71814418,3.007718,,0.89580862,,0.0203081,1.15535,,,4.32349,,4.8296,1.18808,,,,,3.50942,,0.1575,,5.1088,5.05270001,0.80356,3.62097574,,,,,,,,,,,0.183407,,,,,,,,,,,,,,0.322724,,0.2723334,,,,
Lebanon,555,0.88342726,6.21206502,17.088632,66.11846716,243.8720335,44.88396018,82.32928057,64.84811523,0.0029895,10.30505818,18.08776135,128.6995902,6.26092324,0.230795,5.466415225,0.97814661,1.3863744,0.1417398,0.000512912,12.60404773,0.73392,0.059011,,0.5668951,0.75428,,,1.6124416,5.13006071,0.362930897,,,0.00814588,,,68.60222716,182.55258,0.0286934,216.6161,13.3024781,8.36023,,,12.85296024,,0.944622,22.24637653,1.6454489,,93.8388736,,,,,,,,337.5914545,36.70752367,1.064034,0.94652209,0.1147631,2.20794728,0.70277,42.37153,,0.14819879,4.7209162,97.555,,8.93428,,0.64215,23.6189,,0.98638,205.216514,,,,,,,1.12794,,,,,,,,0.737637,0.575348,,,,,0.2363471,0.0507494,,,,,,,,2.838667,,,,,,0.05,,2.38825,,0.068908,,0.09,,,
Lesotho,249,0.14457655,,0.0633623,0.23460472,1.14460107,0.2498223,,0.38062913,,0.2475797,0.6340006,0.34570958,0.0118022,,0.0373685,,,,0.000810917,0,0.61036,,,,0.0136,,,,,,,,,,,0.001218368,86.13066,0.0190219,,0.0266667,0.5309,,,3.477387332,,0.087086,0.435362,1.8556522,0.0448813,,,36.570166,,,0.0075559,10.323957,,12.6029217,,0.602429,0.92904046,0.5040614,0.263954836,0.375907,0.632683,,0.72963634,2.3124517,,0.6787,,0.150794,0.50909,,,4.01663,,,,,,,,,,,,0.83457,19.3406,,0.21412474,,,,,,,,,,,0.0644091,,,,,,,,,,,,,,,,,,,,
Liberia,251,,0.02195797,1.40454478,6.02290257,33.2801195,0.7185349,,10.85990286,,40.13632374,0.02016875,0.933304747,0.1527027,0.840349,5.56248807,,,,0.00118494,0.282384802,0.00001,,,,,,,,0.000596445,,,,,0.376923,,1.221031858,236.47449,0.280157,2.54835,5.4145106,0.55506,,,18.8712078,,0.144121,0.630280391,2.4203527,,,,91.1799265,,,0.017909922,46.1412147,,35.3615103,,6.71050949,1.9772287,0.33036,0.308916257,0.024851,0.962754,,6.99508513,4.7158675,,2.387135,4.77329,0.0592299,1.36403,,,0.130324,,1.27513,,,,,,,,,,3.29638,31.69933,,1.335006,,,,,1.340565,,,,,,0.20602734,,,,,,,,,,,0.09839191,,,,,,,,,
Libya,133,1.6403689,3.9130153,8.72720961,6.447116984,54.358164,25.61095525,4.2533318,3.687866,,5.49017417,5.372269232,17.5647127,0.2969086,,0.1193993,,,,0.059011,1.15172735,18.76603,,,0.23438114,,,,,,0.031052,0.059011,,,,,4.273094263,65.67283,,,0.613333,,,,1.32649454,,1.521357,,,,,,,,,,,,58.88355346,,1.96265999,2.85107254,-0.0000003,0.021546335,0.11789,,,0.1474641,0.8889758,,,,,1.37407,,,,,,,,,,,11.7584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,252,0.03812527,3.03021024,0.734185,73.87777662,52.00043618,4.269968326,,10.09426953,,0.732993,4.146578428,4.268181603,0.091231,,0.09798,0.54749098,,,,0.10024186,0.05236,,,,,,,0.00856335,0.0236044,0.00559854,,,,8.89159,,2.643766544,98.34035,0.0142666,,0.4660513,0.0598,,,42.33648613,,5.170857,0.361744266,4.2517218,,,,196.985128,,,0.0293326,38.15075673,,90.12996824,,5.2575497,1.23273811,0.7612974,0.825107206,0.245672,9.639826,44.4958,8.70745045,12.8063872,,6.7872509,,0.0314545,3.38085,,,16.113884,,,0.275047,,,,,1,,,,18.9534,47.912855,,1.67778774,,,,,0.617134,,,,0.1875,,,,,,,0.21,,,,,,,,,0.116847,,,,,,
Malawi,253,0.06550384,7.63105017,5.54679,0.16382936,56.95139329,0.821419741,,58.85538427,,2.82431306,0.8409175,117.5249054,0.7813827,9.18986329,24.75666082,0.776025121,,,0.00069633,0.0779749,0.0006,,,0.0222275,,,,,,,,,,,,10.73744981,449.54291,0.0951436,40.28837,4.587074,0.31444,,,20.98549534,,4.743598,1.904039377,4.870169,0.122222,,,132.4360451,,,,49.7583553,,87.49685834,,,0.92629159,0.32272,0.900116554,0.436942,18.586463,31.5723,10.51717211,13.5575292,,,4.6985,0.1812781,2.09985,,,14.0247,,,,,,,,,,,,24.42576,139.94588,,13.2753692,,,,,4.0677946,0.302418,,,1.99897,,1.304416056,1.56785,,1.51,,0.1875,,,,1.25,0.32,0.1939068,,0.12715,1.10768856,1.4,0.3205,,,,
Malaysia,751,0.28984173,0.00885165,0.0875199,10.02346097,15.18653193,0.50950395,,0.2627256,0.00826154,0.578293764,0.0175918,12.69389169,0,,,,,,,0.033948162,0.32315,,,,,,,0.0218761,0.00886083,,,,,,,0.17836134,5.35402,,,2.0145327,0.55744,,,19.0864939,,145.81088,6.072923061,2.9899232,0.154086,,,,,,,,,2.1977449,,,0.45526208,0.0897,0.431380079,0.456392,,,0.06389342,0.953991,,,5.64071,,0.42749,,,,,,,,,,,,,,,,1.04033,,,,,,0.15,,,,,,0.104609,,,,,,,,,,,,0.312887,,,,,,0.36,,,
Maldives,655,0.0621383,,,0.07190366,0.0445048,0.9316553,,,,0.0266386,,0.378447,,,,,,0.00212912,0.0016287,,,,,,0.00089,,,,,0.00393191,,,0.00161454,,,,0.02786,,9.43695,31.8660126,47.95727,,,4.10603348,,0.151735,1.661846479,0.0672366,0.0257262,,,4.7211727,,,,,7.47061301,0.6339434,,,1.72055356,0.1361,0.065363122,,97.96795,,0.35720958,0.6981563,,,,,0.30157,4.47348,,0.468333,,8.23479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,255,0.09265224,13.2698036,42.07892037,94.14234694,126.270668,6.17999426,48.9345674,30.18772109,0.2936044,47.55355891,39.99290286,11.4236033,0.2483276,,0.4282807,24.45911957,,,,19.69681362,0.27804,,,1.6690338,,,,0.00358503,0.01041147,0.00484006,0.0790747,,0.1321633,,,86.30465914,216.61032,0.0285332,,3.49786,0.79534,,,6.465431738,,9.34379,3.560781369,4.3143277,,,,247.0865135,,,0.00954042,48.6468693,,235.0014415,,6.69333252,3.09826908,0.62171,0.502872626,0.272562,8.35632,134.43,5.36939155,18.4820647,,12.888446,0.625251,0.2088286,2.20744,24.626274,,19.44593,,4.348667,,,,,,14.99746,,,,21.60775,44.10517,,10.02931614,,,,,0.203719,3.59847,,,,0.575348,0.1991235,,,2.773894,,,,,,1.25,0.15,0.00909091,,0.04,,0.0980231,0.3233333,,,,
Marshall Islands,859,,,,,1.3238142,,,,,,,0.0757624,,,,,,,,,,,,,,,,,,,,,,,,,42.12936,0.0141217,,,,,,4.073647199,,132.046617,0.814004217,0.22834409,0.7994915,,,2.5198382,,,,,2.46303,1.77033,,,0.09895,0.1334814,0.1151064,0.053876,,,0.004903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,256,,0.1667817,0.114992,28.17332997,26.55793936,2.78020392,,,0.0161065,4.0423216,0.331222197,0.0484563,,,0.4245933,0.00360432,,,,8.35193174,0.53449,,,,,,,,,,,,,,,3.79214171,13.11324,,99.4448,34.316498,5.79753,,,14.15599837,,0.143786,7.76873E-07,0.1323602,,,,36.7922874,,,0,8.9762355,,60.72375185,110.7486679,0.0286856,1.38002734,0.8056611,0.706820499,0.262605,2.32288,46.8913,1.34335146,2.7403581,,9.594225,4.51623,0.0303088,0.99539,15.79116,,4.33479,,,1.74253,,,,,3.97588,,,,3.89451,5.756954,,0.67990814,,,,,,,,4.033848,,,0.0479875,,,,,,,,,,,,,,,,,,,,
Mauritius,257,0.0226114,,0.0567039,132.372719,1.2604472,0.02213524,,,,,0.0213048,12.02333626,,,,,,,,0.02934632,0.00498,,,,,,,,0.0132912,0.0143046,,,,,,0.185324,0.24963,0.012,,0.12,0.01875,,,6.604427399,,0.024567,0.583536856,1.99668449,0.1564754,,,,,,43.40526,0,,26.76343902,,,0.71954924,0.48023,0.1784868,0.196796,0.264836,,0.1508993,,,,,,0.10247,,,,,,1.666562,,,,,,,,,,0.683569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,358,3.48992414,0.07949131,0.728169,61.31770168,352.2060825,8.089432285,0.13090546,,0.345682371,0.28556863,2.55022,22.18017667,0.20389272,,0.0594304,0.02253144,,0.000382391,0.00378496,32.01162209,0.91002,,,0.1318585,0.02951,,,0.55665334,0.08320875,0.0260242,,0.014211,,,,3.898298173,237.98184,1.26845,,0.0133333,0.32204,,,7.46329095,,236.972596,0.208160949,8.2557261,0.2657857,594.9500049,,,,1175.595513,,,,12.2996964,,,1.0091457,0.13403,1.939395161,0.60565,,,0.2501805,1.1585407,,,2.4604,0.0045174,1.11166,,,4.703524,,14.8400141,,,,,,,,,,,,0.29728,0.7880474,,0.470059,,2.838614,,,,,0.380223,,,3.862,,0.5,5.1447198,5.367,,,0.789169,,8.763556,0.0106667,,8.832998,,0.377513,,,1.8868045,,
