donor_code,1012,913,914,953,921,916,915,801,1,2,1601,301,1011,1013,68,3,82,918,990,18,4,5,1311,811,1312,1313,40,75,20,912,988,958,909,901,905,903,21,976,6,701,613,742,552,84,22,7,820,104,8,951,978,76,9,77,69,61,50,10,11,971,959,948,974,967,963,576,12,302,923,964,966,928
Cambodia,,,,,,101.5472291,75,79.05618593,0.0922194,6.623583551,4.26490508,3.69199975,1.45974,,1.1077364,0.409347,,55.11453987,,2.2678597,66.34319027,57.36475494,5.47855632,2.5806766,48.99617,0.22915,0.0151519,0.0148754,,,,,,,41.5305158,,0.66592153,,0.34499216,126.9579469,,94.182213,,,0.4873012,,5.8953201,6.050781,17.07168619,10.15923,,0.02432025,0.000749635,,0.02654,,0.26000524,39.29567613,13.3916376,0.7204374,5.4269277,,3.76024329,,5.76822,0.00179,3.179751568,79.98132,,,2.20444,1.99882758
Cameroon,,0,69.7950368,4.42461024,,,,0.8260590231,0.279967925,9.563544854,1.92468324,2.527055135,,,0.0200976,,,131.3819019,,2.53673752,222.2554354,88.55514515,20.871699,1.227479,23.988849,,0.13296312,,,,,,,0,129.9712974,,0.76040846,18.52644,3.08582706,25.04692931,,11.359063,0.0148087,,0.538047,,0.0309477,,1.06473539,12.31606,,0.0171195,0.0280125,0.0148635,,,1.06561872,2.2434417,3.2139259,1.0132756,1.87637376,,3.262640249,,9.101903,0.21884,88.2375283,40.747,,,2.17261,1.15957401
Central African Republic,,0.039974,24.7892133,,,,,3.707933077,1.04021936,6.44868394,0.00898914,16.1736282,,,0.3606066,4.876573,0.1326788,164.8275686,,6.0605341,49.09640158,27.85777661,3.92943171,0.0779706,7.65485,,0.0663394,,0.111408,,,12.6975,,,71.420837,,7.7027318,,0.89871863,9.2881379,0.05,1.01071,,0.0265358,3.721671,17.497858,0.414662,,18.4583537,0.15,,,0.13855507,,,0.0398036,1.42074131,12.87115728,7.6677957,0.8986914,4.11178828,,2.65110219,,22.022551,0.04458,26.4481742,62.10605,7.92389423,,6.86328,2.57773287
"Central Asia, regional",,,,,,,,,13.8248151,0.0718456,,0.0117317,,,,,,31.77381117,,2.72660144,,78.23536575,,,,,,0.0222449,,,,,,,1.26304,,,,0.0106143,2.504497089,0.29246488,0.065104,,,0.005779028,,,,2.617693,0.1,,0.03165104,,,,,1.17875772,2.500337976,13.18377018,,,0.081745,,,,,,59.39461,,,,
Chad,,0,12.0989832,1.7024113,,,,0.0522904577,0.2733183,,1.24774914,7.1960617,,,0.0963493,,,144.2897659,,3.10763,33.53105808,13.61538818,7.589424,0.46120735,23.31003,,0.00757596,,,,,20.2278,,,26.42885934,,2.122863,40.96586,0.234475668,11.18659224,,0.097476,,,,,,,,0.320849,,,,,,,0.848748827,10.27228444,31.38573487,0.6297304,3.87727624,,2.983510882,,14.774356,1.52557,,50.86224,0.84551394,,6.08679,0.81213711
Chile,,,,,,,,0.9349142578,0.466409356,0.424946777,0.2475,828.2557277,16.256416,,0.02119685,,,44.15168752,,0.28536458,16.77473576,177.1688453,,3.28041955,,,0.043798105,,,2.776549,,,103.681423,1.9809386,,,,,0.0835001,3.875199923,,34.920933,,,0.1047879,,0.4485876,,0.194407,,,0.00285325,0.080550662,0.0106729,,,1.196110909,0.19811982,0.5174999,,0.91132032,,0.17205236,,1.022587,,2.618552107,2.77623,,,,
China (People''s Republic of),,,,,,23.65607933,1669.144798,29.04360852,12.23066542,1.45938592,7.661729,35.79894507,,,0.11863451,30.9874212,,66.36045329,,9.96414658,205.8610516,680.5008607,,48.22951166,2.25337,0.356197,0.085806329,0.2789397,,,,,,1464.870312,0,,0.02321869,,2.052921889,142.133626,,1911.434424,22.67225,0.0369855,0.462761,2.41565862,0.8528008,,20.19356564,1.26694,,0.416859362,9.801138219,0.085666741,0.13533,0.0130529,2.3604978,4.141163649,18.52752906,1.2087344,3.48553238,,4.0001022,,8.713485,0.02142,37.29158424,32.22764,,,,4.38827921
Colombia,,,,,,,,0.5878716138,0.85865056,3.22761382,4.86368897,84.12496821,40.434321,,0.0596867,0.373752,,65.66480825,,1.55804926,478.9346901,162.6612422,,11.2612733,8.079717,0.351412,0.02400101,0.0189913,,9.621233,,,513.985219,1279.208152,,,1.1314748,,3.89797494,8.179678195,,23.039114,,,1.22424011,4.93217704,0.150965,,18.42452911,8.91392,,0.0309499,0.034552304,0.0119544,,,27.21302868,39.86256269,26.49010838,0.1802147,1.02495564,,1.67934678,,1.166162,0.02639,13.22946786,322.43754,1.84584,,1.44773,
Comoros,,,8.882611,,,,,0.0972510267,,0.150637,0.00856108,,,,,,,11.66647516,,0.01257662,27.84986831,,0.1695219,2.568058,1.620088,,,,,,,,,,9.77229278,,,,0.0942484,3.445112353,,0.099709,,,0.0848334,,0.143941,,,0.134102,,,,,,,,,0.0620219,,1.46915341,,1.024575964,,1.311385,2.1658,0.0104132,0.33425,1.420615,,,0.92545
Congo,,0.0186573,5.798835,0.4108139,,,,0.1568564644,0.0107863,0.00961125,0.16189408,0,,,0.0144518,,,30.06570322,,,51.53906404,0.64871641,0.273944,0.07202913,3.471703,,0.2543108,,,,,,,0,13.47801109,,0.00884524,,0.69395997,6.39377891,,0.021577,,,0.0928751,,,,0.485756,1.670086,,0.0285325,0.024541615,0.0102935,,,0.304450722,0.4683970931,0.176827,0.6805724,1.52782933,,2.134296263,,2.234823,0.36493,,1.68092,,,0.54832,1.56284924
