,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,576,611,613,701,732,742,764,801,807,811,820,901,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1016,1019,1020,1021,1022,1023,1311,1312,1313,1601
donor_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,UNEP,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Development Association,Caribbean Development Bank,Inter-American Development Bank,IDB Special Fund,African Development Bank,African Development Fund,Asian Development Bank,AsDB Special Funds,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,International Labour Organisation,International Atomic Energy Agency,UNECE,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Green Climate Fund,IDB Invest,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,World Tourism Organisation,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation
Kosovo,57,8.668171252,0.011271725,1.1288525,1.3538467,47.81782787,1.272194542,0.0398098,2.57652111,0.1752217,13.42070793,24.84307699,4.723879,2.656987437,,0.114213,6.574373553,,,0.09890683,11.58,1.23247324,,1.45882381,0.38895,,,0.07512252,0.6243701,,0.04202144,,0.027676239,,,0.1394598,63.21655,,,5.2938,,,1.302874471,,,,,,0.333333,,,9.4495601,,,,,,,,141.3357184,,,,,,,,,0.3900437,0.74811441,,,3.49346,,0.2958685,,17.8961,,30.269255,,,,,,,,,,,1.83887,,
Kyrgyzstan,614,0.4011905,0,0,0.62589752,43.78000743,0,0.0718788,0.4770673,,0.044228392,22.56603272,1.420039619,2.279060381,,,,0.00488776,,0.0221513,25.39,,,0.1286044,0.018,,,0.037342715,0.03179018,0.0191514,0.11279445,0.0197722,0.00106577,198.806,,0.64861201,47.861915,0.06658,1.40139,1.74517,,,12.81430855,,9.320997,0.00409,0.0237494,,3.229495,,,46.4793469,,,,,,,62.16654,55.92167067,,5.672202,0.99736766,0.18226,0.0784409,,,26.4482,1.96839668,1.37270749,,,1.53276,0.0142605,0.7090541,10.76029,6.667753,5.7447,99.2595522,,,,,,,,,,1.53885,10.3971,,0.01445152
Lao People's Democratic Republic,745,1.0315952,1.44229503,,10.47238903,29.60842843,0.0116112,,2.65556197,,,22.44076886,1.34568268,2.765810057,,0.442331,12.41496704,,,0.0231229,,,,0.0162454,,,,3.09816518,,,,,,,,0.98364276,32.525911,,10.875,1.72735,,,63.77401137,,38.262699,33.16268,29.44051346,,5.1082747,5.0056873,,53.3350064,,,,,,5.67054,53.74769,28.2531149,,,1.06832704,0.24833,0.122402,,1.90954,,2.53449018,2.68884955,,1.186035,,0.0666819,1.7293019,,,4.76437,,,1.18808,,,,,,,,4.41967,13.63511,,0.21810352
Lebanon,555,4.302371209,9.9434409,4.543294,51.85641612,308.0618326,20.74570089,52.19674061,65.04968344,0.000221166,8.351856627,15.99650166,167.3916137,0.891330915,0.410508,3.33586528,0.4620776,0.0838439,0.0276457,11.08454995,3.64,0.129787,,0.3069414,0.2016,,,0.14985939,0.06886089,0.28417894,,,0.00742341,,,20.43798192,139.276627,,41.928365,8.56132,,,28.60511259,,1.399076,,2.79018795,,2.631205,,77.949259,0,,,,,,,,192.6931451,47.0993633,,0.52619496,1.29082,0.525496,,2.12428,,0.15872003,2.09072004,102.4366,2.56001,,,0.6467089,33.80749,,0.4465856,,,,,,,,,,,,,,0.464386
Lesotho,249,0.0294887,,,0.18668049,2.86093942,0.0410077,,0.51076111,,0.1252664,1.664691,7.68260592,0.1404401,0.142609,0.1080114,,,,0,0.03,,,,0.01744,,,,,,,,,,,1.460574606,47.393139,,,4.41056,,,0.401036807,,0.200333,0.05393,0.736497713,,4.095569,0.00592823,,18.7366956,,,,,3.45819,,,13.69510451,,,0.73484284,0.47539,0.194926,,0.43489,,1.17578343,2.66130425,,0.557189,,0.5290154,0.7513389,,,3.14464,,,,,,,,,,,1.61659,17.24026,,0.12327802
Liberia,251,,1.444104381,0,0.9187718,44.73301816,0.11056398,,20.6042267,,27.55016457,2.2241557,2.10673505,0.47673307,,3.708799498,,,,0.02719971,0.22,,,,,,,,0.00158928,,,,,,,0.57909179,400.223985,,7.58064,0.2699,,,26.27355516,,33.959864,0.03274,1.513529135,,2.012989,,,118.8802306,,,,0.04441,19.32238,,,48.56502329,,3.650624,2.66926166,0.34087,,,,38.4881,9.91786277,5.00944908,,1.060831,,0.6072269,1.4466803,1.70152,,3.224147,,,,,,,,,,,2.24624,18.8901,,1.2704885
Libya,133,0.32017637,0.1704546,2.97141,4.8040143,30.98874314,6.02276696,2.0481147,2.005904,,5.7276581,4.6086599,19.36913943,0.2964712,0.112764,0.0668414,0.0110583,0.000497622,0.641944,0.380559322,0.5,,,,,,,0.021135,0.00939279,0.0193588,,,,,,1.604675025,20.328435,,,43.74068,,,,,1.000148,,,,0.794521,,,,,,,,,,,23.75576576,,,0.35539467,0.04318,0.0484234,,,,0.23534918,0.6890741,,6.54722,,,0.5522385,0.9,,,,,,,,,,,,,,,,
Madagascar,252,0.03497683,2.3167416,,53.4900516,51.30146567,3.8600584,,7.71604022,,0.811133,8.66728073,0.867381251,0.1616323,,0.13979964,0.17273464,,0.00410593,0.065263765,0.44,,,,,,,0.004339792,,0.02471211,,,,9.89159,,2.443936306,116.221739,,,0.047,,,8.483801922,,9.371808,0.0888,0.182427724,,8.2397657,,,145.4524885,,,,0.00377,32.52651,,,77.24514262,,0.213872,1.02085213,1.12414,0.268172,,2.43683,43.6838,8.81098296,10.22394168,,3.534513,,0.5362049,3.9662254,,,10.97629,,,1.11945,,0,,,,,,19.24167,21.77185,,0.19943682
Malawi,253,0.0982988,3.56576763,0,0.02369019,50.18114402,0.8147152,,62.93544747,,3.846124281,0.7028937,140.4751109,0.835581108,4.543346,21.58908969,0.5450799,,0.00858421,0.0527457,0.17,,,,,,,0.000422701,,,,,0.0110583,,,15.97405696,373.469003,,4.015873,4.63243,,,20.51755298,,3.005225,0.08126,3.023077576,,6.31099,0.104457929,,153.289918,,,,0.05623,46.7387,,,84.39852926,,,0.9904998,0.61772,0.140275,,4.42456,75.3639,7.80132311,11.81802368,,12.652051,0.464691,1.0235402,2.2334997,0.20899,,10.907712,,,,,,,,,0.101215,,23.48297,130.87564,,13.19372195
Malaysia,751,0.111336595,,0.416006,5.482227379,11.36267603,0.01586201,,0.4612585,0.0132699,0.612223492,0.041933863,5.792191176,0.0119119,,,,,,0.01694487,0.46,,,0.0203448,,,,0.006047875,,,,,0.111689,,,0.091765511,4.647773,,,0.02286,,,47.46189374,,96.94289,0.13987,4.35822628,,6.5512933,0.28414474,,,,,,,,,0.09925,0.90543025,,,0.5043879,0.21419,0.403484,,,,0.31919957,0.7928546,,,,0.0048282,0.4523198,0.028,,,,,,,,,,,,,,1.03478,,
Maldives,655,0.1283444,0,,0.52340768,0.02876005,0.884662,,0.00113985,,0.028820192,,0.211226454,,,,,,,,0.13,,,,,,,0.000422701,,,,,0.000378193,,,0.0765655,1.367667,,1.47339,0.15019,,,8.092604521,,0.117311,0.06917,2.984086042,,0.777,0.0360779,,4.284347,,,,,,,10.68665,1.06436,,,1.54907557,0.06449,,,0.0964,,0.48780818,0.85984307,,,,,0.2716572,8.46156,,1.083807,,,0.478286,,,,,,,,,,,
Mali,255,0.04780448,25.16801095,39.68332459,73.88501597,68.64017599,2.224927286,34.00064251,17.2776629,0.040136,35.19542903,34.43763,3.387396,0.501485261,,0.83861316,17.92662006,,,10.92953869,2.53,,,0.0266884,,,,0.000422701,0.00647958,0.0751324,,,0.0110583,,,87.42423486,211.134811,,9.070409,0.12544,,,9.241310809,,15.848235,0.06242,3.357146208,,4.871595,,,104.2434877,,,,,34.60513,,,247.1837049,,3.604174,1.31517723,0.29192,0.11847,,4.32379,52.8186,5.26917081,19.24357557,,1.467054,,0.4211272,2.9308078,20.27199,,11.84088,,0.07961,,,,,,,,,34.70953,29.66477,,5.24968352
Marshall Islands,859,,,,,0.0185656,0.162341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160276,6.904615,0.111241,,0.3,,,3.872044552,,73.194953,0.02463,1.339589636,,,0.2669849,,0.5,,,,,,,0.58882,0.2372439,,,0.13119975,0.11678,0.167677,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,256,,0.38100104,,26.09926117,16.48682082,1.75692205,,0.0928549,0.012675,,0.44013935,,0.140993,,0.2157725,,,,5.24488664,0.83,,,,,,,0.000552765,,,,,,,,0.06367477,12.240729,,15.598379,47.31615,,,15.57680458,,0.011596,,0.00709879,,5.796298,,,65.3650248,,,,3.60856,2.86629,,,27.9550554,77.89989568,,1.31454142,0.34599,0.716091,,4.23433,,1.83255461,3.13900581,,5.219222,9.03586,0.1353611,1.0081272,47.95776,,4.23786,,,1.91516,,,,,,,,1.97081,5.04918,,0.04630152
Mauritius,257,0.00244664,0.185892,,44.8442725,0.44851161,,,,,,,0.26029331,,,,,,,0,0.12,,,,,,,,,0.0324877,,,,,,0.0635419,0.059025,,,0.11762,,,4.280511681,,0.004175,0.02429,0.664699454,,1.625837,0.07264,15.31784,,,,,81.00813,,,,38.77347456,,,0.40809719,0.14431,0.318011,,0.5171,,0.6027211,,,,,,0.0799647,,,,,,,,,,,,,,,0.77407,,
Mexico,358,2.16412287,0.013075356,1.88768614,184.2512739,349.4134991,0.35027651,0.1121708,0,0.092033614,0.376567,0.7637111,15.55014995,0.34850086,,0.03870398,,0.0211103,,3.860313235,0.56,,,0.00797853,,,,0.116004,0.03523055,0.0317441,,0.00631428,0.00963795,,,3.21877141,149.546822,0.802764,0.2258,0.56178,,,9.507597473,,163.375446,0.0448,0.441180437,,21.60866,0.1343236,332.6776967,,,1321.24275,10.18913,,,,,121.236896,,,,1.589,0.277624,,,,0.18492,1.39272835,,,,0.0052,0.8460044,,,2.583691,,7.27568,,,,,,,,,,,0.568764,4.338815
Micronesia,860,0.00910988,,,0.00487284,0.02716232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160276,29.556911,,,1.79,,,5.73699881,,0.316374,0.02151,1.240548443,,0.937963,0.279623,,8.84300179,,,,,,2.36199,3.15119,0.00945483,,,0.4939503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Middle East, regional",589,11.06325622,,44.8867176,6.48328123,93.49753012,23.3019937,18.8523869,48.24705737,,62.17425636,7.958272,49.4517141,9.4674396,,0.74506837,0.552914,0.00583877,0.00355413,3.39222908,23.73,,,3.19775,,,,,,0.0310383,0.341701,,,,,24.14173341,4.879593,,,,,,130.5711076,,1.63986,,38.5193015,,,,,,,,,,,,,39.65790346,,,28.6792971,4.95034,,,0.3,,2.0990606,5.15607655,,,0.0312468,1.4318838,4.2553102,,,,,,,,,,,,,0.4676375,,4.06428,,11.914308
Moldova,93,5.187395945,0.0048944,0.1148547,3.84007965,13.16256611,0.31545514,0.32215218,5.522815,,13.99341021,14.41914142,0.28283371,1.14461005,,0.0552914,0.0311202,0.037122707,,0.0326681,2.1,0.028132264,,4.08364306,0.46638,,0.04,0.1522566,2.14293079,94.6122003,0.83047665,0.1135022,0.23324926,1.26375,,0.13303162,29.694412,0.717317,,,,,2.721808911,,0.898097,,0.056991,,2.5320977,,45.60745,47.89142281,,,,,,,,125.541688,,,1.07378587,0.16494,0.00565078,,,12.0927,0.5810952,1.14396475,,,,0.0617798,0.4625186,,2.187702,2.0710703,46.45876097,,,3.600433,0,,0.552914,,,,0.02509,7.62862,,2.69
Mongolia,753,3.12837363,1.34585,,2.145556378,23.4316992,0.0165874,,0.460164,,0.24200191,21.84911247,0.48924257,0.404234046,,,2.8961882,0.000928895,,0.0738376,4.03,,,2.149833495,0.04088,,,0.90672446,0.266670157,0.0157428,,,,0.214606,,5.898213824,9.55658,,0.924962,,,,191.4253221,,47.079568,0.02993,5.851643501,,2.227466,0.1888307,,11.0736955,,,,,,82.79954,31.82127,13.41485933,,,1.14873008,0.7923,0.564529,,,,0.58259862,1.45574721,,,,0.000551,1.0630749,,,1.69023,545.277216,,0.512363,,0,,,,,,-0.06265,2.31453,0.936198,0.21810352
Montenegro,65,1.08285493,0.00288622,,0.70776191,30.47165284,0.20865423,,0.619147059,,0.045999986,0.01689673,0.78732455,,,0.0070773,0.1134479,0.02003755,,0,6.71,1.361058054,,0.10089509,0.5831,,,0.22030823,0.0289429,0.001969094,,,,0.001588,,0.0348574,2.858618,,0.54838,0.18559,,,1.118121472,,,0.00695,0.01967591,,0.9844997,,6.5435717,0,,,,,,,,68.00340138,,,0.15027418,0.06271,0.10183,,,,0.35209608,0.96107233,,,1.67098,,,,2.082041,,83.17770066,,,5.695014,,,,,,0.000608648,,,,0.013267
Montserrat,385,,,,,,,,,,,,38.50705654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02892,,,,,,,0.0664934,,,,0.08086,,,,,0.071676,,,,,,,,,,,,,,,,,,,,,,,
Morocco,136,0.23525286,23.08085908,0.238768,479.6629298,566.3393835,5.302642229,0.7043931,0.1945881,6.95959304,0.24846783,7.83816739,4.256013597,0.208108166,,,0.00578213,0.0132699,0.0234612,26.12320315,1.59,0.0199049,,0.0855328,,,,0.306868479,0.01720188,0.0789591,,,,,,11.09462572,43.321705,0.057459,287.70929,196.80839,,,152.6214151,,5.345923,0.02253,0.024916426,,7.071766,,693.8476727,,,,,504.69611,,,,686.2586707,103.37889,,0.88889727,0.43083,0.68601,,35.87254,,0.55997418,1.69346867,,,3.28484,0.4571766,0.9306491,101.34992,,1.43209,128.75643,17.4847,,,0,,,,,,,8.23328,0.206843,0
Mozambique,259,5.735105314,17.32079896,37.35282637,43.38393131,81.55931765,6.68991112,33.5649236,29.08204806,42.77429956,76.76230176,27.40817948,73.60460346,16.69475459,2.9613,30.10001881,,,,9.737509228,0.19,,,0.01518753,,,,0.000422701,,,,,,7.9962,,38.60912256,392.493498,,0.521327,0.47688,,,89.47152479,,46.009224,0.07567,2.173559603,,4.067647,0.0419067,,248.637675,,,,2.33697,67.54166,,,96.76498154,,,1.741475,0.47899,0.478452,,5.99574,,6.71636748,16.47150511,,5.289482,2.75096,1.196223,3.8745915,7.69446,,14.32566,,4.45332,,,,,,,,,27.56231,182.04297,,13.68544865
Myanmar,635,0.14153557,0.2312735,7.32826653,5.260967797,44.19929649,3.39561757,1.71587203,30.2499725,,32.99269,39.55218922,144.5943911,14.33267003,,1.75147125,2.1356073,,0.00054987,0.00729481,1.85,,,0.68079895,,,,0.02637545,0.1999215,,,,,,,15.4274224,131.713597,0.052649,0.451461,,,,506.8242829,,47.329449,25.1425,46.76288849,,4.32089,6.1672492,,144.814616,,,,,,69.47469,41.85596,126.7804134,,1.682673,4.324926,1.2746,0.336377,,,,8.4392133,17.99466492,,1.21086,,0.9708513,3.1021204,,,2.255923,,,2.40122,,,,,1.1687,,0.0322882,19.6605,113.8812,,4.05003392
Namibia,275,0.03023946,0.05416117,,0.532211243,85.86399476,0.0138228,,0.659478,0.3504451,1.0946308,0.2691215,0.18452727,2.80038104,,0.0241026,0.0923191,,,0.01786524,0.77,,,0.0508458,,,,0.09465628,,,,,,,,0.4659353,57.819283,,,,,,2.992351456,,0.268397,,0.257102661,,3.101366,0.23009033,,,,,,202.47872,,,,16.30132841,,,1.22960959,0.44558,0.17685,,,,0.56073673,1.27415033,,,,0.6535337,0.9001526,,,,,,,,0,,,,,,,24.85236,,0.0754393
Nauru,845,,,,,,0.202496,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005578,,,,,,0.25,,,2.194198401,,0.34537,0.07481,14.24910794,,0.528872,0.9830073,,,,,,,,,3.83059,0.00995245,,,0.0135977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,660,2.17353982,1.11940853,13.37782754,1.23210114,35.0209834,1.86740824,0.2360947,31.3216032,0.00211213,1.21166257,49.00495438,140.6570873,25.92747326,,0.375627446,2.81254898,,,0.127570425,0.25,,,0.33281096,,,,0.0070728,0.00228189,0.00302919,,,,0.20119,0.305231,12.50010375,163.526611,0.083548,0.5476458,1.39337,,,73.89907353,,16.188213,0.08211,16.49140166,,4.7796767,1.036142,,233.9663945,,,,,,,209.37323,100.7691317,,1.88101,3.26606471,0.77773,0.431227,,11.36419,,6.42082832,7.79968482,,1.661239,4.58464,0.4318421,3.5056038,0.22738,,16.87601,,,,,,,,,,,16.6079,16.74487,0.136714,2.60076198
Nicaragua,364,4.01109455,3.18335295,0.261499777,0.845884358,13.01445774,0.28624193,0.0592115,4.6887264,,2.2865295,25.55675693,0.02155949,0.70102249,,1.3280987,9.396248226,,,13.32210409,,,,0.01781869,,,,0.000422701,,,,,,12.0356,2.1674,10.43577688,43.247669,,,,,,22.57103775,,26.239494,,0.147126963,,2.6668337,,,55.53292762,,,155.36469,,,,,58.38993673,,,,0.4107,0.26457,,16.06242,,0.05729318,1.21791004,,0.54331,,0.0022396,0.9514509,,,4.71532,,,,,,,,,,,2.56041,11.1222,,0.71380952
Niger,260,0.1082077,21.99025987,14.9613717,76.12630444,42.43761598,1.587662129,,14.5388852,,8.8489418,31.9596822,,1.10583,,3.422512523,24.04320064,,0.00691142,7.41795113,11.91,,,,,,,0.000845402,,0.0150265,,,,,,10.5140525,106.150712,,2.86736183,1.65427,,,10.73871722,,0.550031,,0.258455213,,3.8068973,,,205.8760136,,,,3.27441,18.2726,,,231.0273066,,2.718225,1.30113778,0.73675,0.218833,,4.0408,17.1522,7.72419025,20.2862839,,10.736305,,0.3911952,3.2164539,23.63765,,13.091544,,1.93205,1.376,,,,,,,,23.3194,21.99647,,8.5371186
Nigeria,261,0.928189264,6.84920585,5.19997,133.6820403,72.3004889,0.08873345,7.88263093,15.67178936,0.02284083,24.5435525,11.1222819,431.9614435,6.92742037,,3.570848599,0.829371,,0.00691142,0.404406399,0.74,,,0.03712754,0.01106,,,1.1881056,0.04841489,0.0931634,,,,,,35.03682307,549.614872,0.151453,,0.9656,,,16.00116511,,28.641786,0.00851,1.68234467,,5.432539,0.3114754,0.3142719,787.5591038,,,,198.21502,55.01244,,,182.8617136,,,2.6689441,0.51714,0.508035,,,,9.69639743,57.92953406,,1.392802,,2.3916281,5.9714757,11.85694,,21.454988,,1.2994,,,0,,,,,,128.41612,193.66484,,143.9183492
Niue,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063382,,,,,,0.237440481,,0.017646,,2.583267517,,0.978972,9.7084345,,,,,,,,,,0.00623687,,,0.03694566,,,,,,0.05025144,,,,,,,,,,,,,,,,,,,,,,,
"North & Central America, regional",389,0.84797255,0,2.0400289,0.93171657,47.3925227,0.1234944,0.17159528,8.0756299,0.1309244,3.5144166,6.92290022,33.16259502,2.3836501,,1.4411952,1.5633335,,,19.78844358,,,,,,,,,,,,,,,6.054408,6.256461688,215.208592,,,0.02396,,,,2.767,,,,1.20381,,0.0680792,,,,5.381,56.20597,,,,,35.92571168,,,,5.05723,,,,,0.00060999,,,,,,5.9002852,,,,,0.27252,,,,,,,,0.542338,,,,4.7571786
"North of Sahara, regional",189,,,1.004825,8.38635291,145.9962049,0.40712278,0.102648,1.14283,1.3281955,0.8705199,6.16611084,0.6960566,1.78511325,,,0.187991,,,2.33371885,0.1,,,,,,0.06,,,,,,,,,2.663039592,0.470171,,,,,,,,0.1,,,,,,,,,,,4.07946,,,,108.036327,,,,0.72368,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.170528
"Oceania, regional",889,0.33727714,,,16.0112846,10.79420684,0,,,,,0.0296325,4.97698678,1.36109,,,,,,0.008648969,0.36,,,,,,,,,,,,,3.24324,,1.04808344,6.243276,,,,,,4.93844895,,24.804369,,184.9033196,,,64.91319515,,1.4969895,,,,,,,,16.78504497,,,,7.26287,,,,,,5.20324696,,,,,,,,,,,,,,,,,,,,5.35561,,0.498648
Pakistan,665,2.07742261,0.00205131,7.2105431,40.08277722,134.985449,11.80854794,4.06927968,13.10139315,0.02333626,12.53828615,18.55478033,624.4068132,0.43635409,,0.70827711,0.552914,,,1.083033615,4.66,,,0.0112461,,,,0.281185955,0.03732764,0.0447612,,,0.00525268,,,41.65412155,642.081855,,17.48296,30.45342,,,244.7050075,,4.012388,0.06673,32.71498798,,7.1856603,,202.062433,856.8504797,,,,,,781.70735,437.21132,141.2175513,,,2.144169399,1.35411,0.481004,,54.93115,,5.45793176,32.33595114,,2.046244,17.9306,0.6763312,5.7649898,143.02653,,17.756,,,,,,,,,,,126.96515,64.84984,,72.7938821
Palau,861,,,0.0189006,,0.0144414,0.0628376,,,,0.0418215,,,,,,,,,0.0066209,,,,,,,,,,,,,,,,,0.875845,,0.0199788,,,,10.48139381,,0.18954,,1.216048083,,1.207224,0.0973879,,,,,,,,6.89313,3.41059,0,,,0.0311751,,0.0734675,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,366,0.02546954,,,20.36539492,1.05293357,0.067344945,,,,0.0160112,0.22140031,1.15623086,0.00742899,,,,,,2.134958517,,,,0.0440225,,,,0.000845402,,,,,,,,0.32218975,41.856822,0.305185,,0.008,,,6.78054679,,125.493665,0.00658,0.038036131,,2.1278,,42.798029,,,511.64518,3.69586,,,,,8.6432479,,,,0.24394,0.142587,,,,0.1810637,0.92940845,,0.629211,6.95966,0.004412,0.3822878,,,,,,,,,,,,,,,0.70125,,0.232
Papua New Guinea,862,0.34446502,0.00397103,,0.0756458,1.95646799,0,,1.34735,,,,1.05880149,,,,,,,,0.12,,,,,,,,0.02433284,,,,,,,0.32615812,11.86531,0.056183,,0.01228,,,61.0786599,,1.140496,0.00885,398.8095928,,2.89687,23.29078433,0,32.556922,,,,,,75.49022,41.23162,15.66727341,,3.412975,1.795050523,0.11799,0.181079,,2.52606,,1.23017112,1.50323653,,,,1.1437087,1.4084426,,,3.52073,,,0.992639,,,,,,,,1.72163,19.96089,,0.79793952
Paraguay,451,0.183388282,26.7019531,,1.07860595,3.93976755,0.57527133,0.0317572,0.6972449,,1.7215483,0.54673025,0.1637208,0.250863,,0.00286226,0.1208219,,,4.479845034,0.05,,,0.02181313,,,,0.000422701,0.0136065,,,,,,,0.696668617,19.042182,0.125484,,,,,32.02267652,,8.089939,0.02355,0.110116752,,2.919866,0.09803385,124.6443244,,,146.79787,28.22287,,,,,40.62061118,,,,0.78181,0.415667,,5.87601,,0.64343489,1.455052,,,,0.0009077,0.8615028,,,2.46164,,,,,,,,,,,,3.41021,,
Peru,454,0.644352952,16.84416534,0.971712,44.78233552,71.33431385,3.03533978,,11.53179252,0.045537943,2.335407742,29.77614579,4.03387874,1.24332369,,0.5414428,1.5871745,,,21.35524274,0.09,,,0.18057461,0.02368,,,0.0021135,0.0293882,0.0100022,,0.00829371,,,,28.49549028,115.486379,0.154231,,0.03619,,,43.78647324,,10.001707,0.02783,0.659213387,,8.160891,0.4538139,101.23426,,,498.07666,10.2078,,,,,40.18153177,,,,0.48095,0.556339,,,,0.67695569,1.37616177,,,,0.60922,0.736252,,,5.92777,,0.13354,2.9799,,,,,,,,,9.66914,0.701006,0.529411
Philippines,755,1.17647428,5.27684743,0.0495448,62.58706203,39.74241711,3.50280277,0.4434668,1.69311583,,5.889818792,1.8805329,7.696417565,0.487242802,,0.30042302,1.572480432,,0.031808,5.43511805,2.76,,,0.05852968,,,,0.05522913,,0.00240177,,,,,,13.99962122,268.339772,0.055839,,2.20301,,,301.5094907,,322.825235,0.12219,56.44664029,,7.005266,3.0530835,206.579323,0,,,,,,751.76372,2.68413,42.33081838,,1.102345,1.42719155,1.50165,0.384569,,8.71973,,1.37408111,3.60803034,,0.985753,1.61697,0.3292841,3.7777573,0.01382,,12.43464,,,,,,,,,,,,38.13796,1.861735,5.9014823
Rwanda,266,0.330245114,26.30295436,,4.2331452,47.8473235,1.60420728,55.88992985,2.590368556,0.0426219,29.17177422,6.05702849,92.90480554,0.05303545,,2.06361528,0.38712711,,,0.6291388,0.39,0.0342807,,0.0155025,0.02382,,,0.00295891,0.04838364,0.00266461,,,,,0.613027,6.90972427,178.722678,0.280917,3.039416,0.67879,,,27.40300213,,18.269311,0.0223,0.660937352,,4.9356,0.1101964,,229.436663,,,,12.58489,93.88539,,,110.8428245,,,1.73869323,0.41954,0.0626733,,5.79884,100.203,6.26230978,8.26182418,,1.376979,5.62768,0.6934368,2.1238107,0.15692,,17.277484,,,2.12008,,,,1.6311,,,,6.82738,70.60727,0.868231,8.04476296
Saint Helena,276,,,,,,,,,,,,101.235878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31482613,,,0.00583294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,383,,,,0.85993259,0.0176996,,,,,,,0.05763871,,,,,,,,,,,,,,,,,,,,,,,,0.038,,,,,,5.59286148,,0.105193,0.00082,0.092455236,,0.995359,0.0995321,0,3.9009911,8.09427,,,,,,,15.3434764,,,,0.09792,,,,,0.0898523,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,384,0.0481772,,,0.02547003,0.02086985,,,,,,,7.93522E-05,,,,,,,,0.01,,,,,,,0.000422701,,,,,,,,,,,,0.06705,,,3.743160791,,0.137071,,0.062774108,,,0.010512528,0,1.8450628,7.20928,,,,,,,12.00437901,,,,0.1797,,,,,0.07185106,,,,,,,,,,,,,,,,,,,,,,,
Samoa,880,,,,0.02698944,,,,,,0.00753813,,,,,,,,,0,,,,,,,,,,,,,,,,,1.410116,,,0.009,,,16.63132858,,0.105332,0.04959,25.89956309,,3.457525,14.78812827,,13.1264123,,,,,,,9.29347,6.24123008,,,1.22279915,0.1477,,,2.92816,,0.70036497,,,,,,,,,,,,2.68246,,,,,,,,,,,
Sao Tome and Principe,268,,,,0.46664291,0.00412533,,,,15.53367154,,,0.0788673,,,,,0.00488776,,0.00995245,0.03,,,,,,,,,,0.00110583,,,,,0.0328882,0.065866,,,,,,2.372690351,,,0.01461,0.011833833,,3.302046,,,5.8635285,,,,,3.23579,,,6.0842736,,,0.78886328,0.17664,,,1.2545,1.76327,0.535782,1.04942852,,0.092554,,,0.47201,,,2.4417879,,,,,,,,,,,0.58256,3.32145,,0.01445152
Senegal,269,1.96548787,22.08249115,,128.6937284,18.43065841,9.95435595,2.767679611,0.3182963,0.32907644,0.74871633,3.686917181,2.18588069,0.54567146,,0.241688,20.02386249,,,11.52279289,0.78,,,0.0502084,,,,0.0016908,0.28129689,0.02530804,,,,,1.0813007,48.26437084,141.267371,1.41602,18.786567,2.96274,,,28.03871136,,36.570756,0.10262,0.128603006,,4.7140527,,,137.1003162,,,,22.43923,78.17413,,,79.84793619,,,1.2715599,0.70687,0.263794,,9.83012,,2.81594292,6.73058094,,0.945219,,0.108264,2.0530615,31.44315,,11.081738,,,,,,,,,,,13.74964,23.71722,0.470565,10.3201195
