,donor_code,1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,22,40,45,50,55,61,62,68,69,70,72,75,76,77,82,83,84,87,104,301,302,546,552,576,611,613,701,732,742,764,801,807,811,820,901,905,906,909,912,913,914,915,916,918,921,923,928,940,944,948,951,958,959,963,964,966,967,971,974,976,978,988,990,1011,1012,1013,1016,1019,1020,1021,1022,1023,1311,1312,1313,1601
donor_name,RecipientCode,Austria,Belgium,Denmark,France,Germany,Italy,Netherlands,Norway,Portugal,Sweden,Switzerland,United Kingdom,Finland,Iceland,Ireland,Luxembourg,Greece,Malta,Spain,Turkey,Slovenia,Croatia,Czech Republic,Slovak Republic,Liechtenstein,Bulgaria,Hungary,Poland,Romania,Estonia,Latvia,Lithuania,Russia,Nordic Development Fund,Canada,United States,Israel,Kuwait,United Arab Emirates,Azerbaijan,Kazakhstan,Japan,Chinese Taipei,Korea,Thailand,Australia,UNEP,Global Environment Facility,New Zealand,International Bank for Reconstruction and Development,International Development Association,Caribbean Development Bank,Inter-American Development Bank,IDB Special Fund,African Development Bank,African Development Fund,Asian Development Bank,AsDB Special Funds,EU Institutions,Arab Fund (AFESD),UN Peacebuilding Fund,World Health Organisation,International Labour Organisation,International Atomic Energy Agency,UNECE,OPEC Fund for International Development,IMF (Concessional Trust Funds),UNDP,UNICEF,UNRWA,WFP,UNHCR,UNAIDS,UNFPA,Islamic Development Bank,OSCE,IFAD,European Bank for Reconstruction and Development,Climate Investment Funds,Adaptation Fund,Council of Europe Development Bank,Green Climate Fund,IDB Invest,Dutch Postcode Lottery,Swedish Postcode Lottery,People's Postcode Lottery,World Tourism Organisation,Global Alliance for Vaccines and Immunization,Global Fund,Global Green Growth Institute,Bill & Melinda Gates Foundation
Bosnia and Herzegovina,64,20.0868524,0.024770587,0.53592493,1.409222128,43.46985637,0.34130369,2.2971068,5.47454547,0,16.79233739,24.35658083,4.91791262,0.115363,,0.014044,0.040803,0.019141872,,0.1221533,30.29,3.47319201,,3.033263441,0.18609,,0.06,0.313232155,0.0060417,0.003098902,,,0.000381511,0.000794,,0.5024145,42.901229,,6.48055,0.00222,,,12.17363922,,3.274066,,0.01854604,,2.9988877,,11.33494754,50.3022392,,,,,,,,242.0828696,,,0.44698577,0.22076,0.0902454,,27.72462,,0.42732687,0.84746839,,,4.46912,,0.4241482,0.12624,11.446704,2.336955,103.5440315,,,6.5476815,,,,,,,,0.78452,,0.013267
Botswana,227,0.00910988,0,,0.42210631,0.16390649,,,0.207102,0.0331748,0.281915362,,0.37612292,0.1229691,,0.120514,,,,,0.06,,,,,,,,,,,,,,,0.4264814,67.417842,,,0.02,,,12.13288662,,0.190063,0.03643,0.633434902,,2.133728,0.462547964,31.5733,,,,,4.81653,,,,3.311759136,,,0.88745276,0.48371,0.273422,,,,0.49071341,0.92295326,,,2.11264,0.75039,0.6298393,0.07097,,0.4560903,,,,,,,,,,,,5.90208,,0.7955872
Brazil,431,1.69933511,1.89312524,0.4467154,223.9577997,314.4594569,6.65286041,0.16488094,111.5540538,2.295926355,1.61187623,3.71648,72.73571419,0.47345706,,0.3950801,0.9618926,0.01395555,,4.741092059,0.23,,,0.01203072,0.00418,,,0.0173307,0.0814064,0.00250474,,,0.003143912,,,0.880264031,19.297927,1.76402,,0.10193,,,84.85772691,,664.948039,,0.334468423,,25.193944,0.2315492,1066.516041,,,1081.22509,9.93778,,,,,78.78095356,,,,1.96038,0.507864,,,,0.18492,2.63759472,,,2.15125,0.5966759,1.1859107,,,11.5552,,0.06197,,,,,,,,,,,,13.1918365
Burkina Faso,287,4.80618375,13.91389825,47.5828844,79.87351165,43.60254161,8.478798584,0,0.4248128,0.00211213,13.17996853,36.98193613,0.1777358,0.17156258,,0.395095292,19.56910872,,,2.02502519,0.67,,,,,,,0.004908122,,0.0148362,,,,,,18.01532831,62.402951,0.24993,0.961592,1.65919,,,30.24623011,,0.88408,,0.064706665,,4.44348,,,339.2020309,,,,0.00288,46.11413,,,157.8594248,,,1.59409374,0.38805,0.309238,,49.20363,32.0248,5.41456389,14.25028043,,3.230888,,0.6278439,2.4707832,19.82517,,6.01527,,1.33894,,,,,,,,,27.26495,49.73023,,11.7137158
Burundi,228,0.02668196,52.15278847,0,5.964650201,46.09069911,0.98078687,33.8992937,5.15134405,0.00211213,2.28862277,7.489915646,4.3119918,0.54975088,,1.790430446,0.569311,,,0.98055094,0.4,0.0973128,,,0.00478,,,0.000845402,,,,,,,,4.16012601,389.583739,,,0.03372,,,3.641556324,,0.569892,,0.237880002,,2.583,,,33.6104117,,,,,14.91191,,,58.19196044,,5.055802,1.17909814,0.14296,0.170806,,16.57897,,8.36353941,11.10937605,,5.06003,6.13108,0.4887262,1.5892718,0.08626,,13.5842,,,,,,,,,,,17.41666,23.21947,,0.59618272
Cabo Verde,230,0.18322688,0.0035099,,5.66958064,0.60756447,0.33666433,,,33.95134871,0.0361129,0.0396386,0.104517,,,,10.86211649,0.00488776,,0.674019795,0.01,0.06343755,,0.03529197,,,,,0.00647958,,,,,,,0.0188245,18.930741,,1.9396,0.03921,,,10.12574531,,,0.00468,0.047387198,,1.4290617,,1.7300639,2.160793,,,,5.78759,1.86975,,,38.81551702,,,0.80177648,0.27722,,,0.879714,,0.53463839,1.21283738,,,,,0.508,,,1.47107,,,,,,,,,,,,0.24995,,
Cambodia,728,0.10968411,4.30154149,0.0594283,51.16741473,41.97028457,0.78726557,,13.95031945,,30.85606832,17.71609596,2.76040022,0.971185331,,0.61149614,0.46143222,,0.0105477,0.232744374,0.19,,,1.60668042,0.02941,,,0.1908253,0.97907389,,,,,0.150892,1.815946,5.012818723,137.422108,0.073775,0.496988,0.0096,,,140.9180906,,75.774321,3.48618,59.00169457,,4.629142,4.796220085,,7.046317,,,,,,,156.76796,62.73858355,,,1.47122786,0.52855,0.381587,,7.08454,,2.90157778,5.48554363,,3.727429,,0.6473713,2.3907793,0.162,,10.20615,,,1.09396,,,,,0.818092,,0.0378193,10.87609,23.54302,0.893388,2.07229385
Cameroon,229,1.65349948,12.32375979,0,266.578634,88.52706926,3.889114045,,0.3733808,0.0105618,5.337178073,2.90674812,2.3011614,0.5121364,,0.64016678,0.5281017,,0.00691142,1.98608012,1.93,,,,,,,0.0524149,,0.04677904,,,,,,8.41630433,79.287377,0.669541,,0.23706,,,23.72090474,,11.24891,,0.345446619,,5.4763787,0.168562,0,131.2985565,,,,0.46299,43.23616,,,78.29361206,,,1.66430819,1.09232,0.246317,,23.81452,,1.87496049,11.54899123,,4.863115,,0.7299861,2.9062929,6.76116,,8.666011,,,,,,,2.63629,1.40244,,,8.3171,34.99029,,2.57458107
Central African Republic,231,0.00903185,8.29212226,2.97141,32.56433269,18.31291944,6.51227787,11.8582308,6.9795059,0.0501791,15.86409783,7.25349478,25.5258602,0.8348995,,6.70386268,2.0941722,0.00583877,,1.06276446,0.48,,,0.0976049,,,,,,0.0020468,,,,,,14.2039208,78.346337,,0.298094,0.05262,,,15.704402,,0.505622,,2.873184926,,2.256925,,,38.2190586,,,,,9.52246,,,126.1931495,,3.246746,2.66966654,0.24166,0.205697,,0.05,34.8186,5.75190117,7.03717467,,4.707461,,0.6410896,1.6187915,0.22115,,3.148843,,,,,,,,,,,6.5931,17.60403,,0.01445152
"Central Asia, regional",619,1.76968778,,,0.1364262,38.63820415,0.1102056,0.025664,1.0697665,,1.7977351,6.1412098,,0.13128402,,,,,,2.21911972,0.24,,,,,,,,,,,0.0400863,0.02857705,,,0.13274481,32.526232,,,,0.251546,0.56901689,3.336828038,,1.642597,,,,1.6274,,,1.959768,,,,,,,,32.20001987,,,,0.12568,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
